smiles
N#Cc1c(C(F)(F)F)nn2c(Cl)c3c(nc12)CCCC3
C=C(CCl)COc1cc(OC)cc(C(F)(F)F)c1
COc1ccccc1C1CNCCN1Cc1ncccc1C
Cc1noc(C)c1CN1CCC(NC(=O)c2ccccn2)C1
Oc1c(-c2ccccc2)cc2c(c1-c1c(O)c(-c3ccccc3)cc3c1CCCC3)CCCC2
CCC(CC)NCc1ccccc1OC(F)(F)F
C=CCCCNc1cc(OC)cc(OC)c1
CCOC(=O)N1CCc2c(sc(NC(=O)C=Cc3cccnc3)c2C#N)C1
COc1cc(C)cc(-c2cc(O)n3nc(C(C)(C)C)c(C#N)c3n2)n1
CCOC(=O)c1cc(C=O)c(F)c(OC)c1
COc1nccc(-n2nc(C(F)(F)F)c(C(N)=O)c2Br)c1F
N#Cc1nccnc1OC1CCCN(C(=O)C2(c3ccccc3)CCOCC2)C1
CCCCCCCCNCc1ccc(C)cc1F
Cc1ccc(Br)c(Cn2nc(-c3ccccc3)cc2Cl)c1
Nc1cnc(B(O)O)c(OC(F)F)c1
CC1CN(CC(=O)N2CCc3nc(C4CCCNC4)ncc3C2)CC(C)O1
COc1c(F)cc(F)cc1C(=O)C(F)(F)Br
CCc1nn(-c2cc(C(F)(F)F)cc(F)n2)c(C(F)F)c1Cl
Cc1cc([N+](=O)[O-])ccc1C(=O)Nc1nc2ccc(C(F)(F)F)cc2[nH]1
CCN(Cc1ccccc1Cl)C(=O)C(C)N
Cc1nn(-c2cc(F)cnc2O)c(I)c1Br
COC(=O)c1ccc(N)c(N2CCNCC2)c1
CC(=O)OC[C@H]1O[C@@H](O[C@H]2[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]3OC[C@H]2O3)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
N#Cc1ccccc1CSc1nnc2c3cc(-c4ccc(Cl)cc4)nn3ccn12
O=Cc1cc(C(F)(F)F)n(-c2ccncc2F)n1
NCc1cncc(-c2cc(F)ccc2F)c1
CCc1c(C#N)cc(COC)cc1C#N
COc1c(C(=O)O)cc(C(F)F)cc1C(F)(F)F
COc1cccc(C(=O)NCC2CCNCC2)c1
N#Cc1ccccc1COC1CNC1
O=c1[nH]cc(F)cc1CO
CC(C1CCOC1)n1ncc(C(=O)OC(C)(C)C)c1O
Oc1ccccc1NCc1cc(Br)c[nH]1
O=C(CCCCI)OCc1ccccc1
Cc1c(Cn2nc(C3CCC3)c(C(N)=O)c2N)ccc(F)c1F
Cn1cc(-n2nc(C3CCCC3)c(I)c2O)ccc1=O
C[C@@H](CO)CCC[C@H](C)[C@H]1[C@@H](O)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
COCc1c(F)cc(C(=O)OC)cc1F
CSc1cnc(F)c(C)c1
N=C(N)N1CCOC2CCCC21
CC(C)c1nn2c(=O)cc(-c3c(F)ccc(F)c3F)[nH]c2c1Br
COc1cc(N2CCCC(CO)C2)nc(SC)n1
C1=C[C@H]2C[C@@H]1CC2CNCc1c[nH]c2ncccc12
COc1cc(Br)c(C)c(C(C)=O)c1
